continent,country,capital
Asia,Afghanistan,Kabul
Europe,Albania,Tirana
Africa,Algeria,Algiers
Europe,Andorra,Andorra la Vella
Africa,Angola,Luanda
North America,Antigua and Barbuda,St. John's
South America,Argentina,Buenos Aires
Asia,Armenia,Yerevan
Oceania,Australia,Canberra
Europe,Austria,Vienna
Asia,Azerbaijan,Baku
North America,Bahamas,Nassau
Asia,Bahrain,Manama
Asia,Bangladesh,Dhaka
North America,Barbados,Bridgetown
Europe,Belarus,Minsk
Europe,Belgium,Brussels
North America,Belize,Belmopan
Africa,Benin,Porto-Novo
Asia,Bhutan,Thimphu
South America,Bolivia,Sucre
Europe,Bosnia and Herzegovina,Sarajevo
Africa,Botswana,Gaborone
South America,Brazil,Brasília
Asia,Brunei,Bandar Seri Begawan
Europe,Bulgaria,Sofia
Africa,Burkina Faso,Ouagadougou
Africa,Burundi,Gitega
Asia,Cambodia,Phnom Penh
Africa,Cameroon,Yaoundé
North America,Canada,Ottawa
Africa,Cape Verde,Praia
Africa,Central African Republic,Bangui
Africa,Chad,N'Djamena
South America,Chile,Santiago
Asia,China,Beijing
South America,Colombia,Bogotá
Africa,Comoros,Moroni
Africa,Congo,Brazzaville
North America,Costa Rica,San José
Europe,Croatia,Zagreb
North America,Cuba,Havana
Europe,Cyprus,Nicosia
Europe,Czech Republic,Prague
Europe,Denmark,Copenhagen
Africa,Djibouti,Djibouti
North America,Dominica,Roseau
North America,Dominican Republic,Santo Domingo
South America,Ecuador,Quito
Africa,Egypt,Cairo
North America,El Salvador,San Salvador
Africa,Equatorial Guinea,Malabo
Africa,Eritrea,Asmara
Europe,Estonia,Tallinn
Africa,Eswatini,Mbabane
Africa,Ethiopia,Addis Ababa
Oceania,Fiji,Suva
Europe,Finland,Helsinki
Europe,France,Paris
Africa,Gabon,Libreville
Africa,Gambia,Banjul
Asia,Georgia,Tbilisi
Europe,Germany,Berlin
Africa,Ghana,Accra
Europe,Greece,Athens
North America,Grenada,St. George's
North America,Guatemala,Guatemala City
Africa,Guinea,Conakry
Africa,Guinea-Bissau,Bissau
North America,Haiti,Port-au-Prince
Honduras,Tegucigalpa,North America
Europe,Hungary,Budapest
Europe,Iceland,Reykjavík
Asia,India,New Delhi
Asia,Indonesia,Jakarta
Asia,Iran,Tehran
Asia,Iraq,Baghdad
Europe,Ireland,Dublin
Asia,Israel,Jerusalem
Europe,Italy,Rome
North America,Jamaica,Kingston
Asia,Japan,Tokyo
Asia,Jordan,Amman
Asia,Kazakhstan,Astana
Africa,Kenya,Nairobi
Oceania,Kiribati,Tarawa Atoll
Asia,Kuwait,Kuwait City
Asia,Kyrgyzstan,Bishkek
Asia,Laos,Vientiane
Europe,Latvia,Riga
Asia,Lebanon,Beirut
Africa,Lesotho,Maseru
Africa,Liberia,Monrovia
Africa,Libya,Tripoli
Europe,Liechtenstein,Vaduz
Europe,Lithuania,Vilnius
Europe,Luxembourg,Luxembourg
Africa,Madagascar,Antananarivo
Africa,Malawi,Lilongwe
Asia,Malaysia,Kuala Lumpur
